Ticker,Sector,MarketCap,ROE,DER,NPM
FAPA,Consumer Non-Cyclicals,"22,6E+12","28,6E+0","1,8E+0","18,6E+0"
FAST,Consumer Cyclicals,"2,4E+12","-29,5E+2","2,5E+2","-13,5E+0"
FASW,Basic Materials,"17,0E+12","-17,0E+0","1,1E+0","-17,4E+0"
FILM,Consumer Cyclicals,"86,3E+12","-4,0E+0","13,0E-2","-33,4E+0"
FIMP,Infrastructures,"2,8E+10","8,7E+0","16,0E-2","66,9E+0"
FIRE,Energy,"13,7E+10","-3,4E+0","47,0E-2","-3,4E+0"
FISH,Consumer Non-Cyclicals,"6,5E+12","6,5E+0","1,5E+0","1,3E+0"
FITT,Consumer Cyclicals,"84,1E+10","-9,0E+0","37,0E-2","-1,0E+2"
FLMC,Consumer Non-Cyclicals,"14,8E+10","-1,2E+2","95,0E-2","-4,4E+2"
FMII,Properties & Real Estate,"2,1E+12","3,4E+0","10,0E-2","73,0E+0"
